id,lon,lat,location,area,type,outcome
27,-1.72091800,54.95722500,On or near Park Avenue,Gateshead 004E,Criminal damage and arson,Investigation complete; no suspect identified
28,-1.72459100,54.95671200,On or near Cromwell Avenue,Gateshead 004E,Criminal damage and arson,Investigation complete; no suspect identified
29,-1.72688400,54.95478500,On or near Supermarket,Gateshead 004E,Criminal damage and arson,Under investigation
30,-1.72093100,54.95535500,On or near Tyne Street,Gateshead 004E,Criminal damage and arson,Investigation complete; no suspect identified
31,-1.70234700,54.96831400,On or near Patterson Street,Gateshead 005C,Criminal damage and arson,Under investigation
32,-1.65069400,54.95361900,On or near Meadow Lane,Gateshead 007A,Criminal damage and arson,Investigation complete; no suspect identified
33,-1.63934400,54.95696500,On or near Cormorant Drive,Gateshead 007A,Criminal damage and arson,Investigation complete; no suspect identified
34,-1.63744600,54.95273600,On or near Princess Drive,Gateshead 007B,Criminal damage and arson,Under investigation
35,-1.63870900,54.95461800,On or near Ravensworth Court,Gateshead 007B,Criminal damage and arson,Investigation complete; no suspect identified
36,-1.62625700,54.95536200,On or near Tyne View Place,Gateshead 007C,Criminal damage and arson,Under investigation
37,-1.62765500,54.95784700,On or near North West Side,Gateshead 007C,Criminal damage and arson,Investigation complete; no suspect identified
38,-1.62593200,54.95510000,On or near Northumberland Street,Gateshead 007C,Criminal damage and arson,Under investigation
39,-1.62719500,54.95701800,On or near Autumn Drive,Gateshead 007C,Criminal damage and arson,Investigation complete; no suspect identified
40,-1.62593200,54.95510000,On or near Northumberland Street,Gateshead 007C,Criminal damage and arson,Investigation complete; no suspect identified
41,-1.62765500,54.95784700,On or near North West Side,Gateshead 007C,Criminal damage and arson,Investigation complete; no suspect identified
42,-1.62553600,54.95070500,On or near Angus Road,Gateshead 007D,Criminal damage and arson,Under investigation
43,-1.63824100,54.94587300,On or near Pentland Gardens,Gateshead 007D,Criminal damage and arson,Under investigation
44,-1.62553600,54.95070500,On or near Angus Road,Gateshead 007D,Criminal damage and arson,Under investigation
45,-1.61624000,54.94639900,On or near Cartmel Grove,Gateshead 007D,Criminal damage and arson,Under investigation
46,-1.63824100,54.94587300,On or near Pentland Gardens,Gateshead 007D,Criminal damage and arson,Under investigation
47,-1.61624000,54.94639900,On or near Cartmel Grove,Gateshead 007D,Criminal damage and arson,Investigation complete; no suspect identified
48,-1.61602700,54.94582300,On or near Fontwell Drive,Gateshead 007D,Criminal damage and arson,Investigation complete; no suspect identified
49,-1.60832000,54.95489200,On or near Sedgewick Place,Gateshead 008B,Criminal damage and arson,Under investigation
50,-1.60658700,54.95332300,On or near Grasmere Street,Gateshead 008B,Criminal damage and arson,Investigation complete; no suspect identified
51,-1.60703400,54.95391800,On or near Windermere Street,Gateshead 008B,Criminal damage and arson,Investigation complete; no suspect identified
52,-1.61324500,54.95586100,On or near The Mill,Gateshead 008C,Criminal damage and arson,Under investigation
53,-1.61774500,54.95065400,On or near Lobley Hill Road,Gateshead 008C,Criminal damage and arson,Investigation complete; no suspect identified
54,-1.60852400,54.95316800,On or near Rydal Street,Gateshead 008D,Criminal damage and arson,Investigation complete; no suspect identified
55,-1.62180300,54.94917500,On or near Victoria Road,Gateshead 008E,Criminal damage and arson,Awaiting court outcome
56,-1.62256700,54.95595300,On or near Wolseley Close,Gateshead 008E,Criminal damage and arson,Investigation complete; no suspect identified
57,-1.62335700,54.94990700,On or near Renwick Court,Gateshead 008E,Criminal damage and arson,Under investigation
58,-1.61991200,54.94932200,On or near Arkle Street,Gateshead 008E,Criminal damage and arson,Investigation complete; no suspect identified
59,-1.61923900,54.94617400,On or near York Close,Gateshead 008E,Criminal damage and arson,Investigation complete; no suspect identified
60,-1.62335700,54.94990700,On or near Renwick Court,Gateshead 008E,Criminal damage and arson,Investigation complete; no suspect identified
61,-1.67475900,54.95330000,On or near Market Lane,Gateshead 009A,Criminal damage and arson,Investigation complete; no suspect identified
62,-1.67918000,54.94703000,On or near Blake Avenue,Gateshead 009B,Criminal damage and arson,Investigation complete; no suspect identified
63,-1.66450300,54.94734100,On or near Borrowdale,Gateshead 009C,Criminal damage and arson,Investigation complete; no suspect identified
64,-1.67950300,54.94963700,On or near Kipling Avenue,Gateshead 009D,Criminal damage and arson,Awaiting court outcome
65,-1.67950300,54.94963700,On or near Kipling Avenue,Gateshead 009D,Criminal damage and arson,Awaiting court outcome
66,-1.60050900,54.94894500,On or near Edendale Terrace,Gateshead 010A,Criminal damage and arson,Investigation complete; no suspect identified
67,-1.59981600,54.95434300,On or near Gateshead Highway,Gateshead 010B,Criminal damage and arson,Under investigation
68,-1.60664700,54.95035800,On or near Westfield Road,Gateshead 010C,Criminal damage and arson,Under investigation
69,-1.60796900,54.94928400,On or near Rectory Road,Gateshead 010C,Criminal damage and arson,Investigation complete; no suspect identified
70,-1.61548600,54.94849000,On or near Brunel Street,Gateshead 010D,Criminal damage and arson,Investigation complete; no suspect identified
71,-1.61112600,54.94735300,On or near Faraday Grove,Gateshead 010D,Criminal damage and arson,Under investigation
72,-1.61298600,54.94549000,On or near Arkwright Street,Gateshead 010D,Criminal damage and arson,Investigation complete; no suspect identified
73,-1.58755900,54.94515400,On or near Hadrian Place,Gateshead 011B,Criminal damage and arson,Under investigation
74,-1.58755900,54.94515400,On or near Hadrian Place,Gateshead 011B,Criminal damage and arson,Under investigation
75,-1.58267400,54.94495800,On or near Wardill Gardens,Gateshead 011C,Criminal damage and arson,Investigation complete; no suspect identified
76,-1.59234500,54.94880100,On or near Fullerton Place,Gateshead 011D,Criminal damage and arson,Investigation complete; no suspect identified
77,-1.59234500,54.94880100,On or near Fullerton Place,Gateshead 011D,Criminal damage and arson,Investigation complete; no suspect identified
78,-1.58776400,54.94944200,On or near Leyton Place,Gateshead 011D,Criminal damage and arson,Under investigation
79,-1.59413700,54.94922000,On or near Conway Square,Gateshead 011D,Criminal damage and arson,Under investigation
80,-1.59234500,54.94880100,On or near Fullerton Place,Gateshead 011D,Criminal damage and arson,Under investigation
81,-1.57079300,54.95099100,On or near High Street,Gateshead 012A,Criminal damage and arson,Under investigation
82,-1.57061000,54.95198800,On or near Providence Place,Gateshead 012A,Criminal damage and arson,Awaiting court outcome
83,-1.56892900,54.95150600,On or near St Johns Place,Gateshead 012A,Criminal damage and arson,Under investigation
84,-1.57041600,54.95260800,On or near Parking Area,Gateshead 012A,Criminal damage and arson,Investigation complete; no suspect identified
85,-1.57268000,54.95111500,On or near Wellington Street,Gateshead 012A,Criminal damage and arson,Investigation complete; no suspect identified
86,-1.56803100,54.94500600,On or near Wentworth Close,Gateshead 012B,Criminal damage and arson,Under investigation
87,-1.56217100,54.94549700,On or near Thornygarth,Gateshead 012B,Criminal damage and arson,Investigation complete; no suspect identified
88,-1.57288100,54.94691900,On or near Coldwell Lane,Gateshead 012B,Criminal damage and arson,Investigation complete; no suspect identified
89,-1.56588500,54.94858400,On or near Rowlandson Crescent,Gateshead 012C,Criminal damage and arson,Investigation complete; no suspect identified
90,-1.56588500,54.94858400,On or near Rowlandson Crescent,Gateshead 012C,Criminal damage and arson,Investigation complete; no suspect identified
91,-1.56588500,54.94858400,On or near Rowlandson Crescent,Gateshead 012C,Criminal damage and arson,Investigation complete; no suspect identified
92,-1.57960200,54.94163200,On or near Woodvale Gardens,Gateshead 012D,Criminal damage and arson,Investigation complete; no suspect identified
93,-1.64424200,54.94338300,On or near Braeside,Gateshead 013A,Criminal damage and arson,Under investigation
94,-1.64424200,54.94338300,On or near Braeside,Gateshead 013A,Criminal damage and arson,Under investigation
95,-1.64323300,54.94096300,On or near Hexham Court,Gateshead 013B,Criminal damage and arson,Investigation complete; no suspect identified
96,-1.53102700,54.94413200,On or near Montrose Drive,Gateshead 014A,Criminal damage and arson,Investigation complete; no suspect identified
97,-1.53171700,54.94117800,On or near Lanchester Close,Gateshead 014B,Criminal damage and arson,Investigation complete; no suspect identified
98,-1.54114200,54.93731400,On or near Sheraton,Gateshead 014B,Criminal damage and arson,Investigation complete; no suspect identified
99,-1.53295100,54.94378000,On or near Haydock Drive,Gateshead 014B,Criminal damage and arson,Investigation complete; no suspect identified
100,-1.53186700,54.94440500,On or near Meadowbrook Drive,Gateshead 014C,Criminal damage and arson,Investigation complete; no suspect identified
101,-1.54864900,54.94155700,On or near Staynebrigg,Gateshead 015A,Criminal damage and arson,Investigation complete; no suspect identified
102,-1.55072400,54.94304700,On or near Chilcrosse,Gateshead 015A,Criminal damage and arson,Investigation complete; no suspect identified
103,-1.55072400,54.94304700,On or near Chilcrosse,Gateshead 015A,Criminal damage and arson,Investigation complete; no suspect identified
104,-1.55355300,54.93710800,On or near Whitehill,Gateshead 015A,Criminal damage and arson,Investigation complete; no suspect identified
105,-1.53875300,54.94833100,On or near Toberty Gardens,Gateshead 015B,Criminal damage and arson,Investigation complete; no suspect identified
106,-1.55089900,54.94694800,On or near High Lanes,Gateshead 015C,Criminal damage and arson,Under investigation
107,-1.54772000,54.95476300,On or near Jonadab Street,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
108,-1.54956800,54.94874900,On or near Sunderland Road,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
109,-1.55654700,54.94732800,On or near Watermill Lane,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
110,-1.55957300,54.94614400,On or near Sports/Recreation Area,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
111,-1.55550200,54.94434100,On or near Colegate West,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
112,-1.55252200,54.95410700,On or near Low Heyworth Lane,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
113,-1.55252200,54.95410700,On or near Low Heyworth Lane,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
114,-1.55550200,54.94434100,On or near Colegate West,Gateshead 015C,Criminal damage and arson,Investigation complete; no suspect identified
115,-1.54911200,54.94347200,On or near Whinshaw,Gateshead 015D,Criminal damage and arson,Investigation complete; no suspect identified
116,-1.54911200,54.94347200,On or near Whinshaw,Gateshead 015D,Criminal damage and arson,Investigation complete; no suspect identified
117,-1.54911200,54.94347200,On or near Whinshaw,Gateshead 015D,Criminal damage and arson,Investigation complete; no suspect identified
118,-1.54701800,54.94225100,On or near Fallowfeld,Gateshead 015D,Criminal damage and arson,Investigation complete; no suspect identified
119,-1.54279100,54.94060900,On or near Whinbrooke,Gateshead 015E,Criminal damage and arson,Under investigation
120,-1.54279100,54.94060900,On or near Whinbrooke,Gateshead 015E,Criminal damage and arson,Under investigation
121,-1.54279100,54.94060900,On or near Whinbrooke,Gateshead 015E,Criminal damage and arson,Under investigation
122,-1.54557800,54.94116800,On or near Supermarket,Gateshead 015E,Criminal damage and arson,Investigation complete; no suspect identified
123,-1.54374200,54.93931900,On or near Coverdale,Gateshead 015F,Criminal damage and arson,Investigation complete; no suspect identified
124,-1.54410700,54.93596800,On or near Staindrop,Gateshead 015F,Criminal damage and arson,Investigation complete; no suspect identified
125,-1.54736000,54.93820900,On or near Bavington,Gateshead 015F,Criminal damage and arson,Investigation complete; no suspect identified
126,-1.58206200,54.93630200,On or near Lavender Row,Gateshead 016A,Criminal damage and arson,Investigation complete; no suspect identified
127,-1.58206200,54.93630200,On or near Lavender Row,Gateshead 016A,Criminal damage and arson,Investigation complete; no suspect identified
128,-1.58369400,54.93385400,On or near Hawkshead Place,Gateshead 016A,Criminal damage and arson,Investigation complete; no suspect identified
129,-1.58227900,54.93641100,On or near Sports/Recreation Area,Gateshead 016A,Criminal damage and arson,Investigation complete; no suspect identified
130,-1.59094000,54.93193800,On or near Lorton Road,Gateshead 016B,Criminal damage and arson,Investigation complete; no suspect identified
131,-1.59746000,54.94318400,On or near Westover Gardens,Gateshead 016D,Criminal damage and arson,Investigation complete; no suspect identified
132,-1.59291900,54.94307000,On or near Evistones Road,Gateshead 016D,Criminal damage and arson,Investigation complete; no suspect identified
133,-1.59233800,54.94487400,On or near Shotley Gardens,Gateshead 016D,Criminal damage and arson,Investigation complete; no suspect identified
134,-1.67757200,54.93539800,On or near Elm Court,Gateshead 017B,Criminal damage and arson,Offender given a caution
135,-1.68098200,54.93836300,On or near Greystoke Gardens,Gateshead 017E,Criminal damage and arson,Investigation complete; no suspect identified
136,-1.67916000,54.93785500,On or near Cloverdale Gardens,Gateshead 017E,Criminal damage and arson,Under investigation
137,-1.57379200,54.94049700,On or near Sea View,Gateshead 018A,Criminal damage and arson,Investigation complete; no suspect identified
138,-1.57281000,54.93741100,On or near Coltsfoot Gardens,Gateshead 018B,Criminal damage and arson,Investigation complete; no suspect identified
139,-1.56089200,54.93250700,On or near Whitehouse Crescent,Gateshead 018C,Criminal damage and arson,Investigation complete; no suspect identified
140,-1.56113600,54.93737900,On or near Yewtrees,Gateshead 018D,Criminal damage and arson,Investigation complete; no suspect identified
141,-1.56004100,54.93617100,On or near Planesway,Gateshead 018D,Criminal damage and arson,Investigation complete; no suspect identified
142,-1.55395000,54.93365000,On or near Wealcroft,Gateshead 018E,Criminal damage and arson,Investigation complete; no suspect identified
143,-1.63398300,54.94378400,On or near Chiltern Gardens,Gateshead 019B,Criminal damage and arson,Investigation complete; no suspect identified
144,-1.68049700,54.92274400,On or near Farm Close,Gateshead 019G,Criminal damage and arson,Under investigation
145,-1.60058400,54.92718900,On or near Ilfracombe Gardens,Gateshead 020A,Criminal damage and arson,Investigation complete; no suspect identified
146,-1.60109800,54.92734400,On or near Linton Road,Gateshead 020A,Criminal damage and arson,Under investigation
147,-1.60043500,54.93126000,On or near Glenbrooke Terrace,Gateshead 020C,Criminal damage and arson,Investigation complete; no suspect identified
148,-1.59825200,54.93108200,On or near Hutton Terrace,Gateshead 020C,Criminal damage and arson,Investigation complete; no suspect identified
149,-1.60144700,54.93621400,On or near Parking Area,Gateshead 020D,Criminal damage and arson,Investigation complete; no suspect identified
150,-1.59916600,54.93645900,On or near Elder Grove,Gateshead 020D,Criminal damage and arson,Under investigation
151,-1.60144700,54.93621400,On or near Parking Area,Gateshead 020D,Criminal damage and arson,Investigation complete; no suspect identified
152,-1.56991600,54.92628500,On or near Springwell Road,Gateshead 021A,Criminal damage and arson,Investigation complete; no suspect identified
153,-1.56991600,54.92628500,On or near Springwell Road,Gateshead 021A,Criminal damage and arson,Awaiting court outcome
154,-1.56604200,54.92820300,On or near Cleadon Gardens,Gateshead 021A,Criminal damage and arson,Investigation complete; no suspect identified
155,-1.57442300,54.92655200,On or near Supermarket,Gateshead 021A,Criminal damage and arson,Local resolution
156,-1.56991600,54.92628500,On or near Springwell Road,Gateshead 021A,Criminal damage and arson,Investigation complete; no suspect identified
157,-1.56991600,54.92628500,On or near Springwell Road,Gateshead 021A,Criminal damage and arson,Under investigation
158,-1.56604200,54.92820300,On or near Cleadon Gardens,Gateshead 021A,Criminal damage and arson,Under investigation
159,-1.58513300,54.92903400,On or near Scotby Gardens,Gateshead 021C,Criminal damage and arson,Under investigation
160,-1.58513300,54.92903400,On or near Scotby Gardens,Gateshead 021C,Criminal damage and arson,Investigation complete; no suspect identified
161,-1.57648500,54.92931800,On or near Sports/Recreation Area,Gateshead 021C,Criminal damage and arson,Under investigation
162,-1.57648500,54.92931800,On or near Sports/Recreation Area,Gateshead 021C,Criminal damage and arson,Investigation complete; no suspect identified
163,-1.58677700,54.93462000,On or near Southend Road,Gateshead 021C,Criminal damage and arson,Investigation complete; no suspect identified
164,-1.58513300,54.92903400,On or near Scotby Gardens,Gateshead 021C,Criminal damage and arson,Investigation complete; no suspect identified
165,-1.58735800,54.93274400,On or near Carlisle Place,Gateshead 021C,Criminal damage and arson,Investigation complete; no suspect identified
166,-1.58513300,54.92903400,On or near Scotby Gardens,Gateshead 021C,Criminal damage and arson,Investigation complete; no suspect identified
167,-1.57178400,54.92232000,On or near Tanfield Place,Gateshead 021D,Criminal damage and arson,Investigation complete; no suspect identified
168,-1.55927100,54.92948200,On or near Wallace Gardens,Gateshead 021E,Criminal damage and arson,Awaiting court outcome
169,-1.56352900,54.92968600,On or near Medomsley Gardens,Gateshead 021E,Criminal damage and arson,Under investigation
170,-1.56212600,54.93239500,On or near Aycliffe Crescent,Gateshead 021E,Criminal damage and arson,Investigation complete; no suspect identified
171,-1.56541500,54.92842600,On or near Brandon Gardens,Gateshead 021E,Criminal damage and arson,Under investigation
172,-1.75473700,54.91948300,On or near Dene Crescent,Gateshead 022A,Criminal damage and arson,Investigation complete; no suspect identified
173,-1.75506000,54.92275500,On or near Barkwood Road,Gateshead 022B,Criminal damage and arson,Under investigation
174,-1.75506000,54.92275500,On or near Barkwood Road,Gateshead 022B,Criminal damage and arson,Investigation complete; no suspect identified
175,-1.75506000,54.92275500,On or near Barkwood Road,Gateshead 022B,Criminal damage and arson,Investigation complete; no suspect identified
176,-1.59345900,54.92044400,On or near Trafford,Gateshead 023A,Criminal damage and arson,Investigation complete; no suspect identified
177,-1.59795100,54.92216600,On or near Hertford,Gateshead 023A,Criminal damage and arson,Investigation complete; no suspect identified
178,-1.57869000,54.92289200,On or near Silksworth Gardens,Gateshead 023E,Criminal damage and arson,Under investigation
179,-1.57953000,54.92308300,On or near Seaham Gardens,Gateshead 023E,Criminal damage and arson,Investigation complete; no suspect identified
180,-1.76911600,54.92310600,On or near Woodlea Road,Gateshead 024A,Criminal damage and arson,Investigation complete; no suspect identified
181,-1.76656400,54.92196900,On or near Hillcroft,Gateshead 024A,Criminal damage and arson,Investigation complete; no suspect identified
182,-1.81016500,54.92006700,On or near Wansbeck Street,Gateshead 024B,Criminal damage and arson,Under investigation
183,-1.80905900,54.91972400,On or near Tay Street,Gateshead 024B,Criminal damage and arson,Investigation complete; no suspect identified
184,-1.81332700,54.92113300,On or near Monument Court,Gateshead 024B,Criminal damage and arson,Investigation complete; no suspect identified
185,-1.81481500,54.90621800,On or near Mill Court,Gateshead 024C,Criminal damage and arson,Investigation complete; no suspect identified
186,-1.81413300,54.91891400,On or near Parkside Court,Gateshead 024C,Criminal damage and arson,Under investigation
187,-1.77832100,54.93166900,On or near Spen Lane,Gateshead 024D,Criminal damage and arson,Investigation complete; no suspect identified
188,-1.77832100,54.93166900,On or near Spen Lane,Gateshead 024D,Criminal damage and arson,Investigation complete; no suspect identified
189,-1.57333600,54.90394800,On or near Selkirk Crescent,Gateshead 025A,Criminal damage and arson,Investigation complete; no suspect identified
190,-1.58403700,54.91878600,On or near Waverley Road,Gateshead 025C,Criminal damage and arson,Under investigation
191,-1.58887000,54.91761600,On or near Sports/Recreation Area,Gateshead 025C,Criminal damage and arson,Investigation complete; no suspect identified
192,-1.58403700,54.91878600,On or near Waverley Road,Gateshead 025C,Criminal damage and arson,Under investigation
193,-1.56694400,54.90376400,On or near Leafield Close,Gateshead 025C,Criminal damage and arson,Investigation complete; no suspect identified
194,-1.62113600,54.90381000,On or near Ashvale Avenue,Gateshead 025D,Criminal damage and arson,Under investigation
195,-1.60349900,54.91481600,On or near Pedestrian Subway,Gateshead 025D,Criminal damage and arson,Investigation complete; no suspect identified
196,-1.62113600,54.90381000,On or near Ashvale Avenue,Gateshead 025D,Criminal damage and arson,Under investigation
197,-1.60349900,54.91481600,On or near Pedestrian Subway,Gateshead 025D,Criminal damage and arson,Investigation complete; no suspect identified
198,-1.62113600,54.90381000,On or near Ashvale Avenue,Gateshead 025D,Criminal damage and arson,Under investigation
199,-1.63573400,54.89161500,On or near Park/Open Space,Gateshead 025D,Criminal damage and arson,Investigation complete; no suspect identified
200,-1.61004700,54.92325700,On or near Eleventh Avenue,Gateshead 025D,Criminal damage and arson,Investigation complete; no suspect identified
201,-1.56765400,54.88257600,On or near Moray Close,Gateshead 026A,Criminal damage and arson,Investigation complete; no suspect identified
202,-1.57181800,54.88238400,On or near Norfolk Place,Gateshead 026B,Criminal damage and arson,Investigation complete; no suspect identified
203,-1.57014300,54.88299800,On or near Athlone Place,Gateshead 026B,Criminal damage and arson,Under investigation
204,-1.57584800,54.89047700,On or near Radcliffe Street,Gateshead 026C,Criminal damage and arson,Investigation complete; no suspect identified
205,-1.57647600,54.89596100,On or near Holyoake Gardens,Gateshead 026D,Criminal damage and arson,Under investigation
206,-1.57826600,54.89329800,On or near Parking Area,Gateshead 026D,Criminal damage and arson,Under investigation
207,-1.58011800,54.89659400,On or near Morris Street,Gateshead 026D,Criminal damage and arson,Investigation complete; no suspect identified
208,-1.57863700,54.89805300,On or near Craig Street,Gateshead 026D,Criminal damage and arson,Investigation complete; no suspect identified
209,-1.58011800,54.89659400,On or near Morris Street,Gateshead 026D,Criminal damage and arson,Investigation complete; no suspect identified
210,-1.58677900,54.95567500,On or near Sunderland Road,Gateshead 027B,Criminal damage and arson,Awaiting court outcome
211,-1.58652500,54.95464000,On or near King Edward Street,Gateshead 027B,Criminal damage and arson,Investigation complete; no suspect identified
212,-1.57843800,54.95443300,On or near Parking Area,Gateshead 027B,Criminal damage and arson,Investigation complete; no suspect identified
213,-1.58063700,54.95470100,On or near Walcher Grove,Gateshead 027B,Criminal damage and arson,Investigation complete; no suspect identified
214,-1.60180400,54.96170100,On or near Jackson Street,Gateshead 027C,Criminal damage and arson,Under investigation
215,-1.60514100,54.96539600,On or near Mirk Lane,Gateshead 027C,Criminal damage and arson,Investigation complete; no suspect identified
216,-1.60135200,54.95846400,On or near High West Street,Gateshead 027C,Criminal damage and arson,Awaiting court outcome
217,-1.60090100,54.96138300,On or near Charles Street,Gateshead 027C,Criminal damage and arson,Under investigation
218,-1.60135200,54.95846400,On or near High West Street,Gateshead 027C,Criminal damage and arson,Under investigation
219,-1.60694900,54.96258000,On or near Mulgrave Terrace,Gateshead 027D,Criminal damage and arson,Under investigation
220,-1.60230100,54.95726300,On or near Coburg Street,Gateshead 027D,Criminal damage and arson,Investigation complete; no suspect identified
221,-1.60230100,54.95726300,On or near Coburg Street,Gateshead 027D,Criminal damage and arson,Investigation complete; no suspect identified
222,-1.59728600,54.95748000,On or near Pedestrian Subway,Gateshead 028A,Criminal damage and arson,Investigation complete; no suspect identified
223,-1.59600300,54.95611900,On or near Cemetery Road,Gateshead 028A,Criminal damage and arson,Investigation complete; no suspect identified
224,-1.59825200,54.95612700,On or near Camilla Street,Gateshead 028A,Criminal damage and arson,Investigation complete; no suspect identified
225,-1.59825200,54.95612700,On or near Camilla Street,Gateshead 028A,Criminal damage and arson,Investigation complete; no suspect identified
226,-1.59825200,54.95612700,On or near Camilla Street,Gateshead 028A,Criminal damage and arson,Investigation complete; no suspect identified
227,-1.59723000,54.95055200,On or near Raby Street,Gateshead 028B,Criminal damage and arson,Investigation complete; no suspect identified
228,-1.59316200,54.94988200,On or near Caris Street,Gateshead 028B,Criminal damage and arson,Investigation complete; no suspect identified
229,-1.59316200,54.94988200,On or near Caris Street,Gateshead 028B,Criminal damage and arson,Investigation complete; no suspect identified
230,-1.59823700,54.95451800,On or near St Edmund'S Road,Gateshead 028B,Criminal damage and arson,Investigation complete; no suspect identified
231,-1.59365800,54.94716100,On or near Valley Gardens,Gateshead 028C,Criminal damage and arson,Investigation complete; no suspect identified
232,-1.59399000,54.94833000,On or near Lynnholme Gardens,Gateshead 028C,Criminal damage and arson,Investigation complete; no suspect identified
233,-1.59365800,54.94716100,On or near Valley Gardens,Gateshead 028C,Criminal damage and arson,Investigation complete; no suspect identified
234,-1.66879600,55.01199100,On or near Petherton Court,Newcastle upon Tyne 001A,Criminal damage and arson,Under investigation
235,-1.67398500,55.05078000,On or near Havannah Crescent,Newcastle upon Tyne 001B,Criminal damage and arson,Investigation complete; no suspect identified
236,-1.68517400,55.05904100,On or near Prestwick Carr Road,Newcastle upon Tyne 001B,Criminal damage and arson,Investigation complete; no suspect identified
237,-1.63881600,55.04200000,On or near Windt Street,Newcastle upon Tyne 001D,Criminal damage and arson,Awaiting court outcome
238,-1.65465300,55.03278100,On or near Hawthorn Grange,Newcastle upon Tyne 001D,Criminal damage and arson,Under investigation
239,-1.66225800,55.01592700,On or near Colnbrook Close,Newcastle upon Tyne 001G,Criminal damage and arson,Investigation complete; no suspect identified
240,-1.62731200,55.02362500,On or near South Ridge,Newcastle upon Tyne 002A,Criminal damage and arson,Investigation complete; no suspect identified
241,-1.62731200,55.02362500,On or near South Ridge,Newcastle upon Tyne 002A,Criminal damage and arson,Investigation complete; no suspect identified
242,-1.62378200,55.01976800,On or near Bridge Park,Newcastle upon Tyne 002D,Criminal damage and arson,Investigation complete; no suspect identified
243,-1.62212100,55.01180100,On or near Parking Area,Newcastle upon Tyne 002E,Criminal damage and arson,Investigation complete; no suspect identified
244,-1.61912800,55.01416400,On or near Harewood Road,Newcastle upon Tyne 002E,Criminal damage and arson,Investigation complete; no suspect identified
245,-1.64503800,55.01427800,On or near Parking Area,Newcastle upon Tyne 003B,Criminal damage and arson,Investigation complete; no suspect identified
